commonName,taxon,status,recommendation,reviewDate,url,notes
Squirrel chimney cave shrimp,Crustacean,Endangered,No Change,2008-06-28,/pdf/five-year-reviews/squirrel-chimney-cave-shrimp-2008.pdf,
Alabama cave shrimp,Crustacean,Endangered,No Change,2006-08-29,/pdf/five-year-reviews/alabama-cave-shrimp-2006.pdf,
Alabama cave shrimp,Crustacean,Endangered,No Change,2016-01-11,/pdf/five-year-reviews/alabama-cave-shrimp-2016.pdf,
Alabama sturgeon,Fish,Endangered,No Change,2010-11-09,/pdf/five-year-reviews/alabama-sturgeon.pdf,
Amber darter,Fish,Endangered,No Change,2014-10-21,/pdf/five-year-reviews/etowah-fishes.pdf,
Bayou darter,Fish,Threatened,No Change,2012-05-09,/pdf/five-year-reviews/bayou-darter.pdf,
Blackside dace,Fish,Threatened,No Change,2015-09-16,/pdf/five-year-reviews/blackside-dace.pdf,
Blue shiner,Fish,Threatened,No Change,2014-10-14,/pdf/five-year-reviews/blue-shiner.pdf,
Bluemask darter,Fish,Endangered,No Change,2013-12-27,/pdf/five-year-reviews/bluemask-darter.pdf,
Boulder darter,Fish,Endangered,No Change,2009-09-18,/pdf/five-year-reviews/boulder-darter.pdf,
Cahaba shiner,Fish,Endangered,No Change,2016-06-29,/pdf/five-year-reviews/cahaba-shiner.pdf,
Cherokee darter,Fish,Threatened,No Change,2014-10-21,/pdf/five-year-reviews/etowah-fishes.pdf,
Conasauga logperch,Fish,Endangered,No Change,2011-12-16,/pdf/five-year-reviews/conasauga-logperch.pdf,
Duskytail darter,Fish,Endangered,No Change,2012-08-01,/pdf/five-year-reviews/duskytail-darter.pdf,
Etowah darter,Fish,Endangered,No Change,2014-10-21,/pdf/five-year-reviews/etowah-fishes.pdf,
Goldline darter,Fish,Threatened,No Change,2015-05-12,/pdf/five-year-reviews/goldline-darter.pdf,
Gulf sturgeon,Fish,Threatened,No Change,2009-09-30,/pdf/five-year-reviews/gulf-sturgeon.pdf,
Okaloosa darter,Fish,Endangered,Downlist from Endangered to Threatened,2007-07-02,/pdf/five-year-reviews/okaloosa-darter.pdf,
Ozark cavefish,Fish,Threatened,No Change,2011-09-09,/pdf/five-year-reviews/ozark-cavefish.pdf,
Palezone shiner,Fish,Endangered,No Change,2014-05-30,/pdf/five-year-reviews/palezone-shiner.pdf,
Pygmy madtom,Fish,Endangered,No Change,2009-10-09,/pdf/five-year-reviews/pygmy-madtom.pdf,
Pygmy sculpin,Fish,Threatened,No Change,2008-07-28,/pdf/five-year-reviews/pygmy-sculpin.pdf,
Relict darter,Fish,Endangered,No Change,2013-08-09,/pdf/five-year-reviews/relict-darter.pdf,
Slackwater darter,Fish,Endangered,No Change,2008-06-24,/pdf/five-year-reviews/slackwater-darter.pdf,
Slender chub,Fish,Threatened,No Change,2014-03-19,/pdf/five-year-reviews/slender-chub.pdf,
Smoky madtom,Fish,Endangered,No Change,2012-01-27,/pdf/five-year-reviews/yellowfin-and-smokey-madtom.pdf,
Snail darter,Fish,Threatened,No Change,2013-03-18,/pdf/five-year-reviews/snail-darter.pdf,
Vermilion darter,Fish,Endangered,No Change,2011-08-30,/pdf/five-year-reviews/vermilion-darter.pdf,
Waccamaw silverside,Fish,Threatened,No Change,2011-02-10,/pdf/five-year-reviews/waccamaw-silverside.pdf,
Watercress darter,Fish,Endangered,No Change,2009-08-28,/pdf/five-year-reviews/watercress-darter.pdf,
Yellowfin madtom,Fish,Threatened,No Change,2012-02-28,/pdf/five-year-reviews/yellowfin-and-smokey-madtom.pdf,
Saint Francis’ satyr,Insect,Endangered,No Change,2013-12-26,/pdf/five-year-reviews/saint-francis-satyr.pdf,
Schaus swallowtail,Insect,Endangered,No Change,2008-09-30,/pdf/five-year-reviews/schaus-swallowtail.pdf,
Spruce-fir moss spider,Insect,Endangered,No Change,2014-12-02,/pdf/five-year-reviews/spruce-fir-moss-spider.pdf,
Southeastern beach mouse,Mammal,Threatened,,2013-09-30,/pdf/five-year-reviews/southeastern-beach-mouse.pdf,
Alabama beach mouse,Mammal,Endangered,No Change,2009-11-27,/pdf/five-year-reviews/alabama-beach-mouse.pdf,
Anastasia Island beach mouse,Mammal,Endangered,No Change,2007-09-06,/pdf/five-year-reviews/anastasia-island-beach-mouse.pdf,
Carolina northern flying squirrel,Mammal,Endangered,No Change,2013-06-28,/pdf/five-year-reviews/carolina-northern-flying-squirrel.pdf,
Choctawhatchee beach mouse,Mammal,Endangered,No Change,2007-09-04,/pdf/five-year-reviews/choctawhatchee-beach-mouse.pdf,
Florida panther,Mammal,Endangered,No Change,2009-04-28,/pdf/five-year-reviews/florida-panther.pdf,
Florida salt marsh vole,Mammal,Endangered,No Change,2008-06-05,/pdf/five-year-reviews/florida-salt-marsh-vole.pdf,
Key deer,Mammal,Endangered,No Change,2010-08-23,/pdf/five-year-reviews/key-deer.pdf,
Key Largo cotton mouse,Mammal,Endangered,No Change,2009-03-26,/pdf/five-year-reviews/key-largo-cotton-mouse.pdf,
Key Largo woodrat,Mammal,Endangered,No Change,2008-09-25,/pdf/five-year-reviews/key-largo-woodrat.pdf,
Louisiana black bear,Mammal,Threatened,No Change,2014-02-18,/pdf/five-year-reviews/louisiana-black-bear.pdf,
Lower Keys marsh rabbit,Mammal,Endangered,No Change,2007-09-21,/pdf/five-year-reviews/lower-keys-marsh-rabbit.pdf,
Perdido Key beach mouse,Mammal,Endangered,No Change,2007-09-04,/pdf/five-year-reviews/perdido-key-beach-mouse-2007.pdf,
Perdido Key beach mouse,Mammal,Endangered,No Change,2014-12-05,/pdf/five-year-reviews/perdido-key-beach-mouse-2014.pdf,
Red wolf,Mammal,Endangered,No Change,2007-09-28,/pdf/five-year-reviews/red-wolf-2007.pdf,
Rice rat,Mammal,Endangered,No Change,2008-08-18,/pdf/five-year-reviews/rice-rat.pdf,
Southeastern beach mouse,Mammal,Threatened,No Change,2008-04-07,/pdf/five-year-reviews/southeastern-beach-mouse-2008.pdf,
St. Andrew beach mouse,Mammal,Endangered,No Change,2009-04-06,/pdf/five-year-reviews/st-andrews-beach-mouse.pdf,
West Indian manatee,Mammal,Endangered,Downlist from Endangered to Threatened,2007-04-06,/pdf/five-year-reviews/west-indian-manatee.pdf,
Alabama lampmussel,Mussel,Endangered ,No Change,2011-08-31,/pdf/five-year-reviews/alabama-lampmussel.pdf,
Alabama moccasinshell,Mussel,Threatened,No Change,2008-04-07,/pdf/five-year-reviews/eleven-mobile-basin-mussels.pdf,*
Appalachian elktoe,Mussel,Endangered,No Change,2009-03-03,/pdf/five-year-reviews/appalachian-elktoe.pdf,
Appalachian elktoe,Mussel,Endangered,No Change,2017-08-28,/pdf/five-year-reviews/appalachian-elktoe-2017.pdf,
Arkansas fatmucket,Mussel,Threatened,Uplist from Threatened to Endangered,2013-12-12,/pdf/five-year-reviews/arkansas-fatmucket.pdf,
Birdwing pearlymussel,Mussel,Endangered,No Change,2011-08-19,/pdf/five-year-reviews/birdwing-dromedary-and-cracking-pearlymussels.pdf,
Black clubshell,Mussel,Endangered,No Change,2009-04-27,/pdf/five-year-reviews/tombigbee-mussels-2009.pdf,
Black clubshell,Mussel,Endangered,No Change,2015-09-08,/pdf/five-year-reviews/tombigbee-mussels-2015.pdf,
Carolina heelsplitter,Mussel,Endangered,No Change,2012-05-29,/pdf/five-year-reviews/carolina-heelsplitter.pdf,
Chipola slabshell,Mussel,Threatened,No Change,2007-09-17,/pdf/five-year-reviews/seven-panama-city-field-office-mussels.pdf,
Coosa moccasinshell,Mussel,Endangered,No Change,2008-04-07,/pdf/five-year-reviews/eleven-mobile-basin-mussels.pdf,*
Cracking pearlymussel,Mussel,Endangered,No Change,2011-08-19,/pdf/five-year-reviews/birdwing-dromedary-and-cracking-pearlymussels.pdf,
Cumberland bean,Mussel,Endangered,No Change,2010-06-21,/pdf/five-year-reviews/cumberland-bean.pdf,
Cumberland elktoe,Mussel,Endangered,No Change,2007-01-24,/pdf/five-year-reviews/cumberland-elktoe-2007.pdf,
Cumberland elktoe,Mussel,Endangered,No Change,2015-07-21,/pdf/five-year-reviews/cumberland-elktoe-2015.pdf,
Cumberland monkeyface,Mussel,Endangered,No Change,2011-07-28,/pdf/five-year-reviews/cumberland-monkeyface.pdf,
Cumberland pigtoe,Mussel,Endangered,No Change,2015-08-24,/pdf/five-year-reviews/cumberland-pigtoe.pdf,
Cumberlandian combshell,Mussel,Endangered,No Change,2007-09-19,/pdf/five-year-reviews/cumberland-combshell.pdf,
Dark pigtoe,Mussel,Endangered,No Change,2008-04-07,/pdf/five-year-reviews/eleven-mobile-basin-mussels.pdf,*
Dromedary pearlymussel,Mussel,Endangered,No Change,2011-08-19,/pdf/five-year-reviews/birdwing-dromedary-and-cracking-pearlymussels.pdf,
Fat pocketbook mussel,Mussel,Endangered,No Change,2012-03-30,/pdf/five-year-reviews/fat-pocketbook.pdf,
Fat threeridge,Mussel,Endangered,No Change,2007-09-17,/pdf/five-year-reviews/seven-panama-city-field-office-mussels.pdf,
Fine-lined pocketbook,Mussel,Threatened,No Change,2008-04-07,/pdf/five-year-reviews/eleven-mobile-basin-mussels.pdf,*
Finerayed pigtoe,Mussel,Endangered,No Change,2013-10-23,/pdf/five-year-reviews/finerayed-pigtoe.pdf,
Flat pigtoe,Mussel,Endangered,Remove from Endangered Species List,2009-04-27,/pdf/five-year-reviews/tombigbee-mussels-2009.pdf,
Flat pigtoe,Mussel,Endangered,Remove from Endangered Species List,2015-09-08,/pdf/five-year-reviews/tombigbee-mussels-2015.pdf,
Green blossom,Mussel,Endangered,Remove from Endangered Species List,2007-09-21,/pdf/five-year-reviews/three-tennessee-blossum-mussels.pdf,
Gulf moccasinshell,Mussel,Endangered,No Change,2007-09-17,/pdf/five-year-reviews/seven-panama-city-field-office-mussels.pdf,
Heavy pigtoe,Mussel,Endangered,No Change,2009-04-27,/pdf/five-year-reviews/tombigbee-mussels-2015.pdf,*
Heavy pigtoe,Mussel,Endangered,No Change,2015-09-08,/pdf/five-year-reviews/tombigbee-mussels-2015.pdf,
Littlewing pearlymussel,Mussel,Endangered,No Change,2013-11-01,/pdf/five-year-reviews/littlewing-pearlymussel.pdf,
Louisiana pearlshell,Mussel,Threatened,No Change,2011-02-22,/pdf/five-year-reviews/louisiana-pearlshell.pdf,
Ochlockonee moccasinshell,Mussel,Endangered,No Change,2007-09-17,/pdf/five-year-reviews/seven-panama-city-field-office-mussels.pdf,
Orange-nacre mucket,Mussel,Threatened,No Change,2008-04-07,/pdf/five-year-reviews/eleven-mobile-basin-mussels.pdf,*
Oval pigtoe,Mussel,Endangered,No Change,2007-09-17,/pdf/five-year-reviews/seven-panama-city-field-office-mussels.pdf,
Ovate clubshell,Mussel,Endangered,No Change,2008-04-07,/pdf/five-year-reviews/eleven-mobile-basin-mussels.pdf,*
Oyster mussel,Mussel,Endangered,No Change,2011-07-12,/pdf/five-year-reviews/oyster-mussel.pdf,
Pale lilliput,Mussel,Endangered,No Change,2011-08-31,/pdf/five-year-reviews/pale-lilliput.pdf,
Purple bankclimber,Mussel,Threatened,No Change,2007-09-17,/pdf/five-year-reviews/seven-panama-city-field-office-mussels.pdf,
Ring pink,Mussel,Endangered,No Change,2011-08-18,/pdf/five-year-reviews/ring-pink.pdf,
Rough pigtoe,Mussel,Endangered,No Change,2014-09-01,/pdf/five-year-reviews/rough-pigtoe.pdf,
Shiny pigtoe,Mussel,Endangered,No Change,2013-10-23,/pdf/five-year-reviews/shiny-pigtoe.pdf,
Shinyrayed pocketbook,Mussel,Endangered,No Change,2007-09-17,/pdf/five-year-reviews/seven-panama-city-field-office-mussels.pdf,
Southern acornshell,Mussel,Endangered,Remove from Endangered Species List,2008-04-07,/pdf/five-year-reviews/eleven-mobile-basin-mussels.pdf,*
Southern clubshell,Mussel,Endangered,No Change,2008-04-07,/pdf/five-year-reviews/eleven-mobile-basin-mussels.pdf,*
Southern combshell,Mussel,Endangered,No Change,2009-04-27,/pdf/five-year-reviews/tombigbee-mussels-2009.pdf,*
Southern combshell,Mussel,Endangered,No Change,2015-09-08,/pdf/five-year-reviews/tombigbee-mussels-2015.pdf,
Southern pigtoe,Mussel,Endangered,No Change,2008-04-07,/pdf/five-year-reviews/eleven-mobile-basin-mussels.pdf,*
Stirrupshell,Mussel,Endangered,Remove from Endangered Species List,2009-04-27,/pdf/five-year-reviews/tombigbee-mussels-2009.pdf,*
Stirrupshell,Mussel,Endangered,Remove from Endangered Species List,2015-09-08,/pdf/five-year-reviews/tombigbee-mussels-2015.pdf,
Tan riffleshell,Mussel,Endangered,No Change,2013-09-26,/pdf/five-year-reviews/tan-riffleshell.pdf,
Tar River spinymussel,Mussel,Endangered,No Change,2014-09-10,/pdf/five-year-reviews/tar-river-spinymussel.pdf,
Tubercled blossom,Mussel,Endangered,No Change,2011-08-12,/pdf/five-year-reviews/tubercled-blossom.pdf,
Turgid blossom,Mussel,Endangered,Remove from Endangered Species List,2007-09-21,/pdf/five-year-reviews/three-tennessee-blossum-mussels.pdf,
Triangular kidneyshell,Mussel,Endangered,No Change,2008-04-07,/pdf/five-year-reviews/eleven-mobile-basin-mussels.pdf,*
Upland combshell,Mussel,Endangered,Remove from Endangered Species List,2008-04-07,/pdf/five-year-reviews/eleven-mobile-basin-mussels.pdf,*
Speckled pocketbook,Mussel,Endangered,No Change,2007-01-19,/pdf/five-year-reviews/speckled-pocketbook-2005.pdf,
Speckled pocketbook,Mussel,Endangered,No Change,2015-03-17,/pdf/five-year-reviews/speckled-pocketbook-2015.pdf,
Yellow blossom,Mussel,Endangered,Remove from Endangered Species List,2007-09-21,/pdf/five-year-reviews/three-tennessee-blossum-mussels.pdf,
Adiantum vivesii,Plant,Endangered,Remove from Endangered Species List,2008-06-05,/pdf/five-year-reviews/adiantum-vivesii.pdf,
Alabama Canebrake pitcher plant,Plant,Endangered,No Change,2012-01-02,/pdf/five-year-reviews/alabama-canebrake-pitcher-plant.pdf,
Alabama leather flower,Plant,Endangered,No Change,2010-07-12,/pdf/five-year-reviews/alabama-leather-flower.pdf,
Alabama streak o sorus fern,Plant,Threatened,No Change,2014-03-31,/pdf/five-year-reviews/alabama-streaksorus-fern.pdf,
Apalachicola rosemary,Plant,Endangered,No Change,2009-07-07,/pdf/five-year-reviews/apalachicola-rosemary.pdf,
Aristida chaseae,Plant,Endangered,No Change,2010-12-02,/pdf/five-year-reviews/four-puerto-rican-plants.pdf,
Aristida portoricensis (pelos del diablo),Plant,Endangered,No Change,2010-12-02,/pdf/five-year-reviews/four-puerto-rican-plants.pdf,
Auerodendron pauciflorum,Plant,Endangered,No Change,2011-08-27,/pdf/five-year-reviews/auerodendron-pauciflorum.pdf,
Avon park harebells,Plant,Endangered,No Change,2007-07-13,/pdf/five-year-reviews/avon-park-harebells.pdf,
Bariaco,Plant,Endangered,No Change,2012-08-21,/pdf/five-year-reviews/bariaco.pdf,
Beach jacquemontia,Plant,Endangered,No Change,2007-05-30,/pdf/five-year-reviews/beach-jacquemontia.pdf,
Beautiful pawpaw,Plant,Endangered,No Change,2009-06-17,/pdf/five-year-reviews/beautiful-pawpaw.pdf,
Black spored quillwort,Plant,Endangered,No Change,2008-09-30,/pdf/five-year-reviews/three-granite-outcrop-plants.pdf,
Blue Ridge goldenrod,Plant,Threatened,No Change,2012-03-29,/pdf/five-year-reviews/blue-ridge-goldenrod.pdf,*
Bunched arrowhead,Plant,Endangered,No Change,2014-03-24,/pdf/five-year-reviews/bunched-arrowhead.pdf,
Brauns rockcress,Plant,Endangered,No Change,2010-05-28,/pdf/five-year-reviews/brauns-rockcress.pdf,
Brittons beargrass,Plant,Endangered,No Change,2010-05-10,/pdf/five-year-reviews/brittons-beargrass.pdf,
Brooksville bellflower,Plant,Endangered,No Change,2010-05-10,/pdf/five-year-reviews/brooksville-bellflower.pdf,
Calyptranthes thomasiana,Plant,Endangered,No Change,2013-09-22,/pdf/five-year-reviews/calyptranthes-thomasiana.pdf,
Canby's dropwort,Plant,Endangered,No Change,2010-09-13,/pdf/five-year-reviews/canbys-dropwort-2010.pdf,
Canby's dropwort,Plant,Endangered,No Change,2015-07-28,/pdf/five-year-reviews/canbys-dropwort-2015.pdf,
Capa rosa,Plant,Endangered,No Change,2015-09-08,/pdf/five-year-reviews/five-puerto-rican-el-yunque-plants.pdf,
Carter's mustard,Plant,Endangered,No Change,2008-09-15,/pdf/five-year-reviews/carters-mustard.pdf,
Catesbea melanocarpa,Plant,Endangered,No Change,2011-04-26,/pdf/five-year-reviews/catesbaea-melanocarpa.pdf,
Chamaecrista glandulosa var mirabilis,Plant,Endangered,No Change,2015-01-07,/pdf/five-year-reviews/chamaecrista-glandulosavar.pdf,
Chapman's rhododendron,Plant,Endangered,No Change,2010-04-13,/pdf/five-year-reviews/chapmans-rhododendron.pdf,
Chupacallos,Plant,Endangered,No Change,2014-06-29,/pdf/five-year-reviews/chupacallos.pdf,
Cobana negra,Plant,Threatened,No Change,2014-10-29,/pdf/five-year-reviews/cobana-negra.pdf,
Cook's holly,Plant,Endangered,No Change,2013-08-06,/pdf/five-year-reviews/cooks-holly.pdf,
Cooley's meadowrue,Plant,Endangered,No Change,2009-01-08,/pdf/five-year-reviews/cooleys-meadowrue.pdf,
Cooley's waterwillow,Plant,Endangered,No Change,2010-07-14,/pdf/five-year-reviews/cooleys-waterwillow.pdf,
Cranichis ricartii,Plant,Endangered,No Change,2016-06-16,/pdf/five-year-reviews/cranichis-ricartii.pdf,
Crenulate leadplant,Plant,Endangered,No Change,2007-09-21,/pdf/five-year-reviews/crenulate-leadplant.pdf,
Cumberland rosemary,Plant,Threatened,No Change,2011-06-06,/pdf/five-year-reviews/cumberland-rosemary.pdf,
Cumberland sandwort,Plant,Endangered,Downlist from Endangered to Threatened,2013-12-23,/pdf/five-year-reviews/cumberland-sandwort.pdf,
Daphnospsis helleriana,Plant,Endangered,No Change,2013-07-19,/pdf/five-year-reviews/daphnospsis-hellerianapdf,
Deltoid spurge,Plant,Endangered,No Change,2010-06-15,/pdf/five-year-reviews/deltoid-spurge.pdf,
Dwarf-flowered heartleaf,Plant,Threatened,No Change,2011-05-02,/pdf/five-year-reviews/dwarf-flowered-heartleaf.pdf,
Elaphoglossum serpens,Plant,Endangered,No Change,2010-01-15,/pdf/five-year-reviews/three-puerto-rican-ferns.pdf,
Elfin tree fern,Plant,Endangered,No Change,2013-09-01,/pdf/five-year-reviews/elfin-tree-fern.pdf,
Etonia rosemary,Plant,Endangered,Downlist from Endangered to Threatened,2007-06-04,/pdf/five-year-reviews/etonia-rosemary.pdf,
Erubia,Plant ,Endangered,No Change,2015-10-30,/pdf/five-year-reviews/erubia.pdf,
Florida bonamia,Plant,Threatened,No Change,2008-08-28,/pdf/five-year-reviews/florida-bonamia.pdf,
Florida golden aster,Plant,Endangered,Downlist from Endangered to Threatened,2009-05-14,/pdf/five-year-reviews/florida-goldenaster.pdf,
Florida perforate cladonia,Plant,Endangered,No Change,2007-09-17,/pdf/five-year-reviews/florida-perforate-cladonia.pdf,
Florida skullcap,Plant,Threatened,No Change,2009-06-11,/pdf/five-year-reviews/florida-skullcap.pdf,
Florida torreya,Plant,Endangered,No Change,2010-10-30,/pdf/five-year-reviews/florida-torreya.pdf,
Florida ziziphus,Plant,Endangered,No Change,2009-08-27,/pdf/five-year-reviews/florida-ziziphus.pdf,
Four petal pawpaw,Plant,Endangered,No Change,2009-04-06,/pdf/five-year-reviews/four-petal-pawpaw.pdf,
Fragrant prickly apple,Plant,Endangered,No Change,2010-06-24,/pdf/five-year-reviews/fragrant-prickly-apple.pdf,
Fringed campion,Plant,Endangered,No Change,2015-03-15,/pdf/five-year-reviews/fringed-campion.pdf,
Garber's spurge,Plant,Threatened,No Change,2007-09-06,/pdf/five-year-reviews/garbers-spurge.pdf,
Garrett's mint,Plant,Endangered,No Change,2009-09-03,/pdf/five-year-reviews/garretts-mint.pdf,
Gentian pinkroot,Plant,Endangered,No Change,2009-01-21,/pdf/five-year-reviews/gentian-pinkroot.pdf,
Gesneria pauciflora,Plant,Threatened,No Change,2013-04-24,/pdf/five-year-reviews/gesneria-pauciflora.pdf,
Geocarpon minimum,Plant,Threatened,No Change,2009-06-30,/pdf/five-year-reviews/geocarpon-minimum-2009.pdf,
Geocarpon minimum,Plant,Threatened,No Change,2016-07-20,/pdf/five-year-reviews/geocarpon-minimum-2015.pdf,
Godfrey's butterwort,Plant,Threatened,No Change,2009-07-08,/pdf/five-year-reviews/godfreys-butterwort.pdf,
Goetzea elegans (Beautiful goetzea),Plant,Endangered,No Change,2013-08-29,/pdf/five-year-reviews/beautiful-goetzea.pdf,
Golden sedge,Plant,Endangered,No Change,2009-12-18,/pdf/five-year-reviews/golden-sedge-2009.pdf,*
Golden sedge,Plant,Endangered,No Change,2015-08-24,/pdf/five-year-reviews/golden-sedge-2015.pdf,
Green pitcher plant,Plant,Endangered,No Change,2014-04-01,/pdf/five-year-reviews/green-pitcher-plant.pdf,
Hairy rattleweed,Plant,Endangered,No Change,2011-12-01,/pdf/five-year-reviews/hairy-rattleweed.pdf,
Harper's beauty,Plant,Endangered,No Change,2009-09-11,/pdf/five-year-reviews/harpers-beauty-2009.pdf,
Harper's beauty,Plant,Endangered,No Change,2015-02-23,/pdf/five-year-reviews/harpers-beauty-2015.pdf,
Harrisia portoricensis,Plant,Threatened,No Change,2010-01-15,/pdf/five-year-reviews/higo-chumbo.pdf,
Heller's blazing star,Plant,Threatened,No Change,2013-08-03,/pdf/five-year-reviews/hellers-blazing-star.pdf,
Highlands scrub hypericum,Plant,Endangered,No Change,2008-09-05,/pdf/five-year-reviews/highlands-scrub-hypericum.pdf,
Ilex sintensisii,Plant,Endangered,No Change,2015-09-08,/pdf/five-year-reviews/five-puerto-rican-el-yunque-plants.pdf,
Key tree-cactus,Plant,Endangered,No Change,2010-08-27,/pdf/five-year-reviews/key-tree-cactus.pdf,
Kral's water plantain,Plant,Threatened,No Change,2014-04-29,/pdf/five-year-reviews/krals-waterplantain.pdf,
Lakela's mint,Plant,Endangered,No Change,2008-09-25,/pdf/five-year-reviews/lakelas-mint.pdf,
Large-flowered skullcap,Plant,Endangered,No Change,2015-01-08,/pdf/five-year-reviews/large-flowered-skullcap.pdf,
Leavy prairie clover,Plant,Endangered,No Change,2015-06-14,/pdf/five-year-reviews/leavy-prairie-clover.pdf,
Lepanthes eltorensis,Plant,Endangered,No Change,2015-08-24,/pdf/five-year-reviews/lepanthes-eltoroensis.pdf,
Leptocereus grantianus,Plant,Endangered,No Change,2015-01-19,/pdf/five-year-reviews/leptocereus-grantianus.pdf,
Lewton's polygala,Plant,Endangered,No Change,2010-08-05,/pdf/five-year-reviews/lewtons-polygala.pdf,
Little amphianthus,Plant,Threatened,No Change,2008-09-30,/pdf/five-year-reviews/three-granite-outcrop-plants.pdf,
Longspurred mint,Plant,Endangered,No Change,2008-09-10,/pdf/five-year-reviews/longspurred-mint.pdf,
Louisiana quillwort,Plant,Endangered,No Change,2012-06-20,/pdf/five-year-reviews/louisiana-quillwort.pdf,
Lyonia truncata var proctorii,Plant,Endangered,No Change,2010-12-02,/pdf/five-year-reviews/four-puerto-rican-plants.pdf,
Lyrate bladderpod,Plant,Threatened,No Change,2009-04-08,/pdf/five-year-reviews/lyrate-bladderpod.pdf,
Mat forming quillwort,Plant,Endangered,No Change,2008-09-30,/pdf/five-year-reviews/three-granite-outcrop-plants.pdf,
Miccosukee gooseberry,Plant,Threatened,No Change,2008-07-15,/pdf/five-year-reviews/miccosukee-gooseberry-2008.pdf,
Miccosukee gooseberry,Plant,Threatened,No Change,2015-06-17,/pdf/five-year-reviews/miccosukee-gooseberry-2015.pdf,
Michaux's sumac,Plant,Endangered,No Change,2014-09-03,/pdf/five-year-reviews/michauxs-sumac.pdf,
Mitracarpus maxwelliae,Plant,Endangered,No Change,2011-04-27,/pdf/five-year-reviews/mitracarpus-maxwelliae.pdf,*
Mitracarpus polycladus,Plant,Endangered,Downlist from Endangered to Threatened,2011-04-27,/pdf/five-year-reviews/mitracarpus-maxwelliae.pdf,
Mohr's barbaras button,Plant,Threatened,No Change,2016-07-21,/pdf/five-year-reviews/mohrs-barbaras-button.pdf,
