office,name,type,508 Compliant,url,year,programs,keywords,state
,Deepwater Horizon Oil Spill BA appendix E,Best Management Practice,,best-management-practice/deepwater-horizon-appendix-e.pdf,,Ecological Services,,
,"Atlantic Civil, Incorporated Mine",Biological Opinion,,biological-opinion/atlantic-civil-incorporated-mine.pdf,2012,Ecological Services,Vero Beach Ecological Services Field Office,
,Interstate 75 Interchange and Access Road at SW Florida International Airport,Biological Opinion,,biological-opinion/interstate-75-interchange-and-access-road-at-southwest-florida-international-airport.pdf,2012,Ecological Services,Vero Beach Ecological Services Field Office,
,Rolling Oaks South,Biological Opinion,,biological-opinion/rolling-oaks-south.pdf,2012,Ecological Services,Vero Beach Ecological Services Field Office,
,Dale Gawlik Recovery Permit for Research on the Wood Stork,Biological Opinion,,biological-opinion/dale-gawlik-recovery-permit-for-research-on-the-wood-stork.pdf,2012,Ecological Services,Vero Beach Ecological Services Field Office,
,City of Avon Park Executive Airport Drainage Project,Biological Opinion,,biological-opinion/city-of-avon-park-executive-airport-drainage-project.pdf,2013,Ecological Services,Vero Beach Ecological Services Field Office,
,"Coast of Florida Study, Region III",Biological Opinion,,biological-opinion/coast-of-florida-study-region-three.pdf,1994,Ecological Services,Vero Beach Ecological Services Field Office,
,"Coast of Florida Study, Region III, Amendment I",Biological Opinion,,biological-opinion/coast-of-florida-study-region-three-amendment-one.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Coast of Florida Study, Region III, Amendment II",Biological Opinion,,biological-opinion/coast-of-florida-study-region-three-amendment-two.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,FEMA Administration of National Flood Insurance Program,Biological Opinion,,biological-opinion/fema-administration-of-national-flood-insurance-program.pdf,1997,Ecological Services,Vero Beach Ecological Services Field Office,
,"FEMA Administration of National Flood Insurance Program, Amendment I",Biological Opinion,,biological-opinion/fema-administration-of-national-flood-insurance-program-amendment-one.pdf,2003,Ecological Services,Vero Beach Ecological Services Field Office,
,"FEMA Administration of National Flood Insurance Program, Amendment II",Biological Opinion,,biological-opinion/fema-administration-of-national-flood-insurance-program-amendment-two.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,"FEMA Administration of National Flood Insurance Program, Amendment III",Biological Opinion,,biological-opinion/fema-administration-of-national-flood-insurance-program-amendment-three.pdf,2010,Ecological Services,Vero Beach Ecological Services Field Office,
,"FEMA Administration of National Flood Insurance Program, Amendment IV",Biological Opinion,,biological-opinion/fema-administration-of-national-flood-insurance-program-amendment-four.pdf,2010,Ecological Services,Vero Beach Ecological Services Field Office,
,Driscoll Properties,Biological Opinion,,biological-opinion/driscoll-properties.pdf,1998,Ecological Services,Vero Beach Ecological Services Field Office,
,Modified Water Delivery,Biological Opinion,,biological-opinion/modified-water-delivery.pdf,1999,Ecological Services,Vero Beach Ecological Services Field Office,
,Naples Reserve,Biological Opinion,,biological-opinion/naples-reserve.pdf,2000,Ecological Services,Vero Beach Ecological Services Field Office,
,"Naples Reserve, Amendment I",Biological Opinion,,biological-opinion/naples-reserve-amendment-one.pdf,2012,Ecological Services,Vero Beach Ecological Services Field Office,
,Final Recreational Off-Road Vehicle Management Plan Supplemental Environmental Impact Statement for Big Cypress National Preserve,Biological Opinion,,biological-opinion/orv-plan-supplemental-eis-for-big-cypress-national-preserve.pdf,2000,Ecological Services,Vero Beach Ecological Services Field Office,
,"Final Recreational Off-Road Vehicle Management Plan Supplemental Environmental Impact Statement for Big Cypress National Preserve, Amendment I",Biological Opinion,,biological-opinion/orv-plan-supplemental-eis-for-big-cypress-national-preserve-amendment-one.pdf,2007,Ecological Services,Vero Beach Ecological Services Field Office,
,Key Largo Wastewater Treatment Plant,Biological Opinion,,biological-opinion/key-largo-wastewater-treatment-plant.pdf,2001,Ecological Services,Vero Beach Ecological Services Field Office,
,Avon Park Management Plan,Biological Opinion,,biological-opinion/avon-park-management-plan.pdf,2001,Ecological Services,Vero Beach Ecological Services Field Office,
,Boca Raton Beach Renourishment,Biological Opinion,,biological-opinion/boca-raton-beach-renourishment.pdf,2002,Ecological Services,Vero Beach Ecological Services Field Office,
,Ft. Myers Mine #2,Biological Opinion,,biological-opinion/fort-myers-mine-two.pdf,2002,Ecological Services,Vero Beach Ecological Services Field Office,
,Jupiter Island Beach Nourishment,Biological Opinion,,biological-opinion/jupiter-island-beach-nourishment.pdf,2002,Ecological Services,Vero Beach Ecological Services Field Office,
,"Jupiter Island Beach Nourishment, Amendment I",Biological Opinion,,biological-opinion/jupiter-island-beach-nourishment-amendment-one.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Jupiter Island Beach Nourishment, Amendment II",Biological Opinion,,biological-opinion/jupiter-island-beach-nourishment-amendment-two.pdf,2007,Ecological Services,Vero Beach Ecological Services Field Office,
,Lake Toho-Kissimmee Drawdown,Biological Opinion,,biological-opinion/lake-toho-kissimmee-drawdown.pdf,2002,Ecological Services,Vero Beach Ecological Services Field Office,
,Gasparilla Island Beach Nourishment,Biological Opinion,,biological-opinion/gasparilla-island-beach-nourishment.pdf,2002,Ecological Services,Vero Beach Ecological Services Field Office,
,"Gasparilla Island Beach Nourishment, Amendment I",Biological Opinion,,biological-opinion/gasparilla-island-beach-nourishment-amendment-one.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,"Gasparilla Island Beach Nourishment, Amendment II",Biological Opinion,,biological-opinion/gasparilla-island-beach-nourishment-amendment-two.pdf,2007,Ecological Services,Vero Beach Ecological Services Field Office,
,Winding Cypress,Biological Opinion,,biological-opinion/winding-cypress.pdf,2002,Ecological Services,Vero Beach Ecological Services Field Office,
,"Winding Cypress, Amendment I",Biological Opinion,,biological-opinion/winding-cypress-amendment-one.pdf,2014,Ecological Services,Vero Beach Ecological Services Field Office,
,Stump Pass Beach Nourishment,Biological Opinion,,biological-opinion/stump-pass-beach-nourishment.pdf,2002,Ecological Services,Vero Beach Ecological Services Field Office,
,"Stump Pass Beach Nourishment, Amendment I",Biological Opinion,,biological-opinion/stump-pass-beach-nourishment-amendment-one.pdf,2003,Ecological Services,Vero Beach Ecological Services Field Office,
,"Stump Pass Beach Nourishment, Amendment III",Biological Opinion,,biological-opinion/stump-pass-beach-nourishment-amendment-two.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Stump Pass Beach Nourishment, Amendment III",Biological Opinion,,biological-opinion/stump-pass-beach-nourishment-amendment-three.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,"Stump Pass Beach Nourishment, Amendment IV",Biological Opinion,,biological-opinion/stump-pass-beach-nourishment-amendment-four.pdf,2010,Ecological Services,Vero Beach Ecological Services Field Office,
,Omni Waste Solid Waste Facility at Oak Hammock,Biological Opinion,,biological-opinion/omni-waste-solid-waste-facility-at-oak-hammock.pdf,2003,Ecological Services,Vero Beach Ecological Services Field Office,
,"Omni Waste Solid Waste Facility at Oak Hammock, Amendment I",Biological Opinion,,biological-opinion/omni-waste-solid-waste-facility-at-oak-hammock-amendment-one.pdf,2014,Ecological Services,Vero Beach Ecological Services Field Office,
,Everglades National Park 2003-05 Prescribed Burn Plan,Biological Opinion,,biological-opinion/everglades-national-park-2003-05-prescribed-burn-plan.pdf,2003,Ecological Services,Vero Beach Ecological Services Field Office,
,Loxahatchee National Wildlife Refuge 2003-04 Burn Plans,Biological Opinion,,biological-opinion/loxahatchee-national-wildlife-refuge-2003-04-burn-plans.pdf,2003,Ecological Services,Vero Beach Ecological Services Field Office,
,"Red Hawk Reserve Project, Amendment I",Biological Opinion,,biological-opinion/red-hawk-reserve-project-amendment-one.pdf,2007,Ecological Services,Vero Beach Ecological Services Field Office,
,Fort Pierce Shoreline Protection Project,Biological Opinion,,biological-opinion/fort-pierce-shoreline-protection-project.pdf,2003,Ecological Services,Vero Beach Ecological Services Field Office,
,Lucaya f/n/a Asbury Development,Biological Opinion,,biological-opinion/lucaya-fna-asbury-development.pdf,2003,Ecological Services,Vero Beach Ecological Services Field Office,
,"Lucaya f/n/a Asbury Development, Amendment I",Biological Opinion,,biological-opinion/lucaya-fna-asbury-development-amendment-one.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Treasure Cove Marina,Biological Opinion,,biological-opinion/treasure-cove-marina.pdf,2003,Ecological Services,Vero Beach Ecological Services Field Office,
,"Treasure Cove Marina, Amendment I",Biological Opinion,,biological-opinion/treasure-cove-marina-amendment-one.pdf,2008,Ecological Services,Vero Beach Ecological Services Field Office,
,US Hwy. 1 Improvements from Key Largo to Florida City,Biological Opinion,,biological-opinion/us-hwy-1-improvements-from-key-largo-to-florida-city.pdf,2004,Ecological Services,Vero Beach Ecological Services Field Office,
,"US Hwy. 1 Improvements from Key Largo to Florida City, Amendment I",Biological Opinion,,biological-opinion/us-hwy-1-improvements-from-key-largo-to-florida-city-amendment-one.pdf,2008,Ecological Services,Vero Beach Ecological Services Field Office,
,"Single Family Dock Reaches 34, 35, 36, 37, and 38",Biological Opinion,,biological-opinion/single-family-dock-reaches-34-38.pdf,2004,Ecological Services,Vero Beach Ecological Services Field Office,
,"Single Family Dock Reaches 34, 35, 36, 37, and 38, Amendment I",Biological Opinion,,biological-opinion/single-family-dock-reaches-34-38-amendment-one.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Archbold Prescribed Fire Research Permit,Biological Opinion,,biological-opinion/archbold-prescribed-fire-research-permit.pdf,2004,Ecological Services,Vero Beach Ecological Services Field Office,
,Big Pine Key Park Marina Basin Fill,Biological Opinion,,biological-opinion/big-pine-key-park-marina-basin-fill.pdf,2004,Ecological Services,Vero Beach Ecological Services Field Office,
,"Big Pine Key Park Marina Basin Fill, Amendment I",Biological Opinion,,biological-opinion/big-pine-key-park-marina-basin-fill-amendment-one.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,"Big Pine Key Park Marina Basin Fill, Amendment II",Biological Opinion,,biological-opinion/big-pine-key-park-marina-basin-fill-amendment-two.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,"Big Pine Key Park Marina Basin Fill, Amendment III",Biological Opinion,,biological-opinion/big-pine-key-park-marina-basin-fill-amendment-three.pdf,2008,Ecological Services,Vero Beach Ecological Services Field Office,
,Longboat Key Beach Renourishment,Biological Opinion,,biological-opinion/longboat-key-beach-renourishment.pdf,2004,Ecological Services,Vero Beach Ecological Services Field Office,
,"Longboat Key Beach Renourishment, Amendment I",Biological Opinion,,biological-opinion/longboat-key-beach-renourishment-amendment-one.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Longboat Key Beach Renourishment, Amendment II",Biological Opinion,,biological-opinion/longboat-key-beach-renourishment-amendment-two.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,"Longboat Key Beach Renourishment, Amendment III",Biological Opinion,,biological-opinion/longboat-key-beach-renourishment-amendment-three.pdf,2007,Ecological Services,Vero Beach Ecological Services Field Office,
,Hunter Creek Multi-Slip Dock,Biological Opinion,,biological-opinion/hunter-creek-multi-slip-dock.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Single Family Dock Reaches 9, 10, and 11",Biological Opinion,,biological-opinion/single-family-dock-reaches-9-11.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Flagler Landing Multi-Slip Dock,Biological Opinion,,biological-opinion/flagler-landing-multi-slip-dock.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Martin County Shore Protection Project,Biological Opinion,,biological-opinion/martin-county-shore-protection-project.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Single Family Dock Reach 36, 38, 39, and 40",Biological Opinion,,biological-opinion/single-family-dock-reach-36-40.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Single Family Dock Reaches 26, 27, 28, 29, 30",Biological Opinion,,biological-opinion/single-family-dock-reaches-26-30.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,258 and 274 Golden Gate Point Drive Multi-Slip Dock,Biological Opinion,,biological-opinion/258-and-274-golden-gate-point-drive-multi-slip-dock.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Bayshore Properties Multi-Slip Dock,Biological Opinion,,biological-opinion/bayshore-properties-multi-slip-dock.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,River Forest Yachting Center Marina,Biological Opinion,,biological-opinion/river-forest-yachting-center-marina.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Single Family Dock Reach 32,Biological Opinion,,biological-opinion/single-family-dock-reach-32.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Single Family Dock Reaches 34, 35, 36, 37, and 38",Biological Opinion,,biological-opinion/single-family-dock-reaches-34-38.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Osceola Street Multi-Slip Dock,Biological Opinion,,biological-opinion/osceola-street-multi-slip-dock.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Bonita Springs Utilities Wastewater Treatment Plant,Biological Opinion,,biological-opinion/bonita-springs-utilities-wastewater-treatment-plant.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Carl Nicklyn Multi-Slip Dock,Biological Opinion,,biological-opinion/carl-nicklyn-multi-slip-dock.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Pimm Cape Sable Seaside Sparrow Recovery Permit,Biological Opinion,,biological-opinion/pimm-cape-sable-seaside-sparrow-recovery-permit.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Single Family Dock Reach 24,Biological Opinion,,biological-opinion/single-family-dock-reach-24.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Single Family Dock Reach 30 and 31,Biological Opinion,,biological-opinion/single-family-dock-reach-30-and-31.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Single Family Dock Reach 33,Biological Opinion,,biological-opinion/single-family-dock-reach-33.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Single Family Dock Reach 6, 7, and 8",Biological Opinion,,biological-opinion/single-family-dock-reach-6-8.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Single Family Dock Reach 1, 2, 3, and 25",Biological Opinion,,biological-opinion/single-family-dock-reach-1-3-and-25.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Four Multi-Slip Docks in Reach 32,Biological Opinion,,biological-opinion/four-multi-slip-docks-in-reach-32.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Single Family Dock Reach 32,Biological Opinion,,biological-opinion/single-family-dock-reach-32-second.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Plantation Development,Biological Opinion,,biological-opinion/plantation-development.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Banyan Bay Development Corporation,Biological Opinion,,biological-opinion/banyan-bay-development-corporation.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Calusa Island Village, L.C.",Biological Opinion,,biological-opinion/calusa-island-village-lc.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Hanson Marine Properties, Incorporated",Biological Opinion,,biological-opinion/hanson-marine-properties-incorporated.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Ave Maria University Development of Regional Impact,Biological Opinion,,biological-opinion/ave-maria-university-development-of-regional-impact.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Ave Maria University Development of Regional Impact, Amendment I",Biological Opinion,,biological-opinion/ave-maria-university-development-of-regional-impact-amendment-one.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Ave Maria University Development of Regional Impact, Amendment II",Biological Opinion,,biological-opinion/ave-maria-university-development-of-regional-impact-amendment-two.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Back Bay Improvement Group, LLC",Biological Opinion,,biological-opinion/back-bay-improvement-group-llc.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Category B Emergency Beach Restoration,Biological Opinion,,biological-opinion/category-b-emergency-beach-restoration.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Riverwood North,Biological Opinion,,biological-opinion/riverwood-north.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Single Family Dock Reaches 36, 38, 39, and 40",Biological Opinion,,biological-opinion/single-family-dock-reaches-36-38-39-and-40.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Single Family Dock Reach 24,Biological Opinion,,biological-opinion/single-family-dock-reach-24-two.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Single Family Dock Reaches 4, 5, 6, and 7",Biological Opinion,,biological-opinion/single-family-dock-reaches-4-7.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Blackburn Harbor Development, LLC",Biological Opinion,,biological-opinion/blackburn-harbor-development-llc.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Indian River County FEMA Plus and Sectors 3 and 5,Biological Opinion,,biological-opinion/indian-river-county-fema-plus-and-sectors-3-and-5.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Single Family Dock Reaches 7, 8, and 9",Biological Opinion,,biological-opinion/single-family-dock-reaches-7-9.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,Mirasol Development,Biological Opinion,,biological-opinion/mirasol-development.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Mirasol Development, Amendment I",Biological Opinion,,biological-opinion/mirasol-development-amendment-one.pdf,2007,Ecological Services,Vero Beach Ecological Services Field Office,
,"Mirasol Development, Amendment II",Biological Opinion,,biological-opinion/mirasol-development-amendment-two.pdf,2007,Ecological Services,Vero Beach Ecological Services Field Office,
,"Mirasol Development, Amendment III",Biological Opinion,,biological-opinion/mirasol-development-amendment-three.pdf,2011,Ecological Services,Vero Beach Ecological Services Field Office,
,"Mirasol Development, Amendment IV",Biological Opinion,,biological-opinion/mirasol-development-amendment-four.pdf,2011,Ecological Services,Vero Beach Ecological Services Field Office,
,"Mirasol Development, Amendment V",Biological Opinion,,biological-opinion/mirasol-development-amendment-five.pdf,2012,Ecological Services,Vero Beach Ecological Services Field Office,
,Stella Maris II/III Boat Ramp,Biological Opinion,,biological-opinion/stella-maris-two-and-three-boat-ramp.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Stella Maris II/III Boat Ramp, Amendment I",Biological Opinion,,biological-opinion/stella-maris-two-and-three-boat-ramp-amendment-one.pdf,2008,Ecological Services,Vero Beach Ecological Services Field Office,
,Collier County Reach 27 Boat Ramp Multi-Slip Dock,Biological Opinion,,biological-opinion/collier-county-reach-27-boat-ramp-multi-slip-dock.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Collier County Reach 27 Boat Ramp Multi-Slip Dock, Amendment I",Biological Opinion,,biological-opinion/collier-county-reach-27-boat-ramp-multi-slip-dock-amendment-one.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,Reach 33 Single-Family Docks,Biological Opinion,,biological-opinion/reach-33-single-family-docks.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Reach 33 Single-Family Docks, Amendment I",Biological Opinion,,biological-opinion/reach-33-single-family-docks-amendment-one.pdf,2007,Ecological Services,Vero Beach Ecological Services Field Office,
,Tanglewood Development,Biological Opinion,,biological-opinion/tanglewood-development.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Tanglewood Development, Amendment I",Biological Opinion,,biological-opinion/tanglewood-development-amendment-one.pdf,2007,Ecological Services,Vero Beach Ecological Services Field Office,
,FWC Aid to Lake Wales Ridge Prescribed Fire Strike Team,Biological Opinion,,biological-opinion/fwc-aid-to-lake-wales-ridge-prescribed-fire-strike-team.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"FWC Aid to Lake Wales Ridge Prescribed Fire Strike Team, Amendment I",Biological Opinion,,biological-opinion/fwc-aid-to-lake-wales-ridge-prescribed-fire-strike-team-amendment-one.pdf,2013,Ecological Services,Vero Beach Ecological Services Field Office,
,Parklands Collier,Biological Opinion,,biological-opinion/parklands-collier.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Parklands Collier, Amendment I",Biological Opinion,,biological-opinion/parklands-collier-amendment-one.pdf,2008,Ecological Services,Vero Beach Ecological Services Field Office,
,"Parklands Collier, Amendment II",Biological Opinion,,biological-opinion/parklands-collier-amendment-two.pdf,2012,Ecological Services,Vero Beach Ecological Services Field Office,
,Multiple Launch Rocket System Training Avon Park Air Force Range,Biological Opinion,,biological-opinion/multiple-launch-rocket-system-training-avon-park-air-force-range.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Multiple Launch Rocket System Training Avon Park Air Force Range, Amendment I",Biological Opinion,,biological-opinion/multiple-launch-rocket-system-training-avon-park-air-force-range-amendment-one.pdf,2007,Ecological Services,Vero Beach Ecological Services Field Office,
,Baker's Haulover Inlet dredging and Bal Harbour beach sand placement,Biological Opinion,,biological-opinion/bakers-haulover-inlet-dredging-and-bal-harbour-beach-sand-placement.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Baker's Haulover Inlet dredging and Bal Harbour beach sand placement, Amendment I",Biological Opinion,,biological-opinion/bakers-haulover-inlet-dredging-and-bal-harbour-beach-sand-placement-amendment-one.pdf,2008,Ecological Services,Vero Beach Ecological Services Field Office,
,Indian River County Sector 7 Beach Renourishment,Biological Opinion,,biological-opinion/indian-river-county-sector-7-beach-renourishment.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Indian River County Sector 7 Beach Renourishment, Amendment I",Biological Opinion,,biological-opinion/indian-river-county-sector-7-beach-renourishment-amendment-one.pdf,2007,Ecological Services,Vero Beach Ecological Services Field Office,
,Palm Beach Harbor Maintenance Dredging and Sand Placement,Biological Opinion,,biological-opinion/palm-beach-harbor-maintenance-dredging-and-sand-placement.pdf,2005,Ecological Services,Vero Beach Ecological Services Field Office,
,"Palm Beach Harbor Maintenance Dredging and Sand Placement, Amendment I",Biological Opinion,,biological-opinion/palm-beach-harbor-maintenance-dredging-and-sand-placement-amendment-one.pdf,2008,Ecological Services,Vero Beach Ecological Services Field Office,
,"Palm Beach Harbor Maintenance Dredging and Sand Placement, Amendment II",Biological Opinion,,biological-opinion/palm-beach-harbor-maintenance-dredging-and-sand-placement-amendment-one.pdf,2012,Ecological Services,Vero Beach Ecological Services Field Office,
,"Palm Beach Harbor Maintenance Dredging and Sand Placement, Amendment III",Biological Opinion,,biological-opinion/palm-beach-harbor-maintenance-dredging-and-sand-placement-amendment-three.pdf,2013,Ecological Services,Vero Beach Ecological Services Field Office,
,Collier County Airport Authority,Biological Opinion,,biological-opinion/collier-county-airport-authority.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,Logan Blvd. Extension,Biological Opinion,,biological-opinion/logan-blvd-extension.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,Tamiami Trail Portion of the Modified Water Deliveries,Biological Opinion,,biological-opinion/tamiami-trail-portion-of-the-modified-water-deliveries.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,"Tamiami Trail Portion of the Modified Water Deliveries, Amendment I",Biological Opinion,,biological-opinion/tamiami-trail-portion-of-the-modified-water-deliveries-amendment-one.pdf,2008,Ecological Services,Vero Beach Ecological Services Field Office,
,"Tamiami Trail Portion of the Modified Water Deliveries, Amendment II",Biological Opinion,,biological-opinion/tamiami-trail-portion-of-the-modified-water-deliveries-amendment-two.pdf,2010,Ecological Services,Vero Beach Ecological Services Field Office,
,Journey's End,Biological Opinion,,biological-opinion/journeys-end.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,The Orchard,Biological Opinion,,biological-opinion/the-orchard.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,Firano at Naples,Biological Opinion,,biological-opinion/firano-at-naples.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,TNC Scrub-jay Recovery Permit,Biological Opinion,,biological-opinion/tnc-scrub-jay-recovery-permit.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,Corkscrew Road Widening,Biological Opinion,,biological-opinion/corkscrew-road-widening.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,Central and South Boca Raton Hurricane Response Beach Restoration,Biological Opinion,,biological-opinion/central-and-south-boca-raton-hurricane-response-beach-restoration.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,Summit Church,Biological Opinion,,biological-opinion/summit-church.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,Reach 25 Multi-Slip Dock - Key Haven,Biological Opinion,,biological-opinion/reach-25-multi-slip-dock-key-haven.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,Reach 25 Multi-Slip Dock - Lady Alexander,Biological Opinion,,biological-opinion/reach-25-multi-slip-dock-lady-alexander.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,Reach 33 Multi-Slip Dock,Biological Opinion,,biological-opinion/reach-33-multi-slip-dock.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,Blind Creek Restoration,Biological Opinion,,biological-opinion/blind-creek-restoration.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
,Reach 32 Mark One Condo Multi-Slip Dock,Biological Opinion,,biological-opinion/reach-32-mark-one-condo-multi-slip-dock.pdf,2006,Ecological Services,Vero Beach Ecological Services Field Office,
