type,species,docket,peerReviewReportStatus,fiscalYear,completed fiscalYear,peerReviewPlan,peerReviewDocuments,ssaReport,notes,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Conasauga logperch,84 FR 38291,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/08/06/2019-16750/endangered-and-threatened-wildlife-and-plants-21-draft-recovery-plan-revisions-for-43-southeastern,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Southern pigtoe,84 FR 30764,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/06/27/2019-13713/endangered-and-threatened-wildlife-and-plants-29-draft-recovery-plan-revisions-for-43-species-in-the,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Finelined pocketbook,84 FR 30764,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/06/27/2019-13713/endangered-and-threatened-wildlife-and-plants-29-draft-recovery-plan-revisions-for-43-species-in-the,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Heavy pigtoe,84 FR 38284,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/08/06/2019-16749/endangered-and-threatened-wildlife-and-plants-28-draft-recovery-plan-revisions-for-53-species-in-the,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Alabama moccasinshell,,Did not conduct peer review,2019,,APG-peer-review-plan.pdf,,,Did not conduct peer review; no SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Dark pigtoe,,Did not conduct peer review,2019,,APG-peer-review-plan.pdf,,,Did not conduct peer review; no SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Ovate clubshell,84 FR 30764,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/06/27/2019-13713/endangered-and-threatened-wildlife-and-plants-29-draft-recovery-plan-revisions-for-43-species-in-the,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Alabama sturgeon,84 FR 38284,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/08/06/2019-16749/endangered-and-threatened-wildlife-and-plants-28-draft-recovery-plan-revisions-for-53-species-in-the,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Rough hornsnail,84 FR 30764,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/06/27/2019-13713/endangered-and-threatened-wildlife-and-plants-29-draft-recovery-plan-revisions-for-43-species-in-the,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Speckled pocketbook,,Did not conduct peer review,2019,,APG-peer-review-plan.pdf,,,Did not conduct peer review; no SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Cave crayfish,,Did not conduct peer review,2019,,APG-peer-review-plan.pdf,,,Did not conduct peer review; no SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Palezone shiner,84 FR 38284,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/08/06/2019-16749/endangered-and-threatened-wildlife-and-plants-28-draft-recovery-plan-revisions-for-53-species-in-the,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Alabama cavefish,84 FR 38291,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/08/06/2019-16750/endangered-and-threatened-wildlife-and-plants-21-draft-recovery-plan-revisions-for-43-southeastern,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Cahaba shiner,84 FR 38284,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/08/06/2019-16749/endangered-and-threatened-wildlife-and-plants-28-draft-recovery-plan-revisions-for-53-species-in-the,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Dusky gopher frog,84 FR 38291,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/08/06/2019-16750/endangered-and-threatened-wildlife-and-plants-21-draft-recovery-plan-revisions-for-43-southeastern,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Fat pocketbook,84 FR 38291,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/08/06/2019-16750/endangered-and-threatened-wildlife-and-plants-21-draft-recovery-plan-revisions-for-43-southeastern,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Southern combshell,84 FR 38291,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/08/06/2019-16750/endangered-and-threatened-wildlife-and-plants-21-draft-recovery-plan-revisions-for-43-southeastern,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Black clubshell,84 FR 38291,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/08/06/2019-16750/endangered-and-threatened-wildlife-and-plants-21-draft-recovery-plan-revisions-for-43-southeastern,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Alabama canebrake pitcher-plant,84 FR 38291,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/08/06/2019-16750/endangered-and-threatened-wildlife-and-plants-21-draft-recovery-plan-revisions-for-43-southeastern,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Morefield's leather flower,84 FR 38291,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/08/06/2019-16750/endangered-and-threatened-wildlife-and-plants-21-draft-recovery-plan-revisions-for-43-southeastern,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Chipola slabshell,,Did not conduct peer review,2019,,APG-peer-review-plan.pdf,,,Did not conduct peer review; no SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Oval pigtoe,,Did not conduct peer review,2019,,APG-peer-review-plan.pdf,,,Did not conduct peer review; no SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Choctawhatchee beach mouse,84 FR 38291,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/08/06/2019-16750/endangered-and-threatened-wildlife-and-plants-21-draft-recovery-plan-revisions-for-43-southeastern,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Purple bankclimber,,Did not conduct peer review,2019,,APG-peer-review-plan.pdf,,,Did not conduct peer review; no SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Fat threeridge,,Did not conduct peer review,2019,,APG-peer-review-plan.pdf,,,Did not conduct peer review; no SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Ochlockonee moccasinshell,84 FR 38291,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/08/06/2019-16750/endangered-and-threatened-wildlife-and-plants-21-draft-recovery-plan-revisions-for-43-southeastern,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,American crocodile,,Did not conduct peer review,2019,,APG-peer-review-plan.pdf,,,Did not conduct peer review; no SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Okeechobee gourd,84 FR 38291,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/08/06/2019-16750/endangered-and-threatened-wildlife-and-plants-21-draft-recovery-plan-revisions-for-43-southeastern,,No SSA report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Royal marstonia,84 FR 30764,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/06/27/2019-13713/endangered-and-threatened-wildlife-and-plants-29-draft-recovery-plan-revisions-for-43-species-in-the,,No SSA report,,,,,,,,,,,,,,,,,
Species Status Assessment,Red Hills Salamander,,Incomplete,2019,,https://ecos.fws.gov/ServCat/Reference/Profile/116192,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Magnificent Ramshorn,,Incomplete,2019,,https://ecos.fws.gov/ServCat/Reference/Profile/111752,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Marron bacorra,FWS-R4-ES-2019-0050,Complete,2019,2020,https://ecos.fws.gov/ServCat/Reference/Profile/116186,,https://ecos.fws.gov/ServCat/DownloadFile/176436,,,,,,,,,,,,,,,,,,
Species Status Assessment,Ocmulgee skullcap,,Incomplete,2019,,https://ecos.fws.gov/ServCat/Reference/Profile/111751,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Puerto Rican harlequin butterfly,FWS-R4-ES-2020-0083,Complete,2019,2021,https://ecos.fws.gov/ServCat/Reference/Profile/111881,,https://ecos.fws.gov/ServCat/DownloadFile/187297,,,,,,,,,,,,,,,,,,
Species Status Assessment,Longsolid mussel,FWS-R4-ES-2020-0010,Complete,2018,2021,https://ecos.fws.gov/ServCat/Reference/Profile/103165,,https://ecos.fws.gov/ServCat/DownloadFile/185471,,,,,,,,,,,,,,,,,,
Species Status Assessment,Purple lilliput mussel,FWS-R4-ES-2020-0010,Complete,2019,2021,https://ecos.fws.gov/ServCat/Reference/Profile/103165,,https://ecos.fws.gov/ServCat/DownloadFile/185482,,,,,,,,,,,,,,,,,,
Species Status Assessment,Round hickorynut mussel,FWS-R4-ES-2020-0010,Complete,2019,2021,https://ecos.fws.gov/ServCat/Reference/Profile/103165,,https://ecos.fws.gov/ServCat/DownloadFile/185478,,,,,,,,,,,,,,,,,,
Species Status Assessment,Ocala vetch,FWS-R4-ES-2019-0077,Complete,2019,,https://ecos.fws.gov/ServCat/Reference/Profile/111759,,https://ecos.fws.gov/ServCat/DownloadFile/166765,,,,,,,,,,,,,,,,,,
Species Status Assessment,Berry Cave salamander,FWS-R4-ES-2019-0048,Complete,2019,,berry-cave-salamader-2018.pdf,,https://ecos.fws.gov/ServCat/DownloadFile/168147,,,,,,,,,,,,,,,,,,
Species Status Assessment,Ozark chub,FWS-R4-ES-2019-0094,Complete,2019,,,,https://ecos.fws.gov/ServCat/DownloadFile/169114,,,,,,,,,,,,,,,,,,
Species Status Assessment,Purpledisk honeycombhead,FWS-R4-ES-2019-0095,Complete,2019,,https://ecos.fws.gov/ServCat/Reference/Profile/102898,,https://ecos.fws.gov/ServCat/DownloadFile/169116,,,,,,,,,,,,,,,,,,
Species Status Assessment,Southern hognose snake,FWS-R4-ES-2015-0063,Complete,2019,,,,https://ecos.fws.gov/ServCat/DownloadFile/168148,,,,,,,,,,,,,,,,,,
Species Status Assessment,Yellow anistree,FWS-R4-ES-2019-0079,Complete,2019,,https://ecos.fws.gov/ServCat/Reference/Profile/111760,,https://ecos.fws.gov/ServCat/DownloadFile/168085,,,,,,,,,,,,,,,,,,
Delist/Downlist,Monito gecko,FWS-R4-ES-2017-0082,Complete,2018,,https://ecos.fws.gov/ServCat/Reference/Profile/111880,https://www.federalregister.gov/documents/2018/01/10/2018-00207/endangered-and-threatened-wildlife-and-plants-removal-of-the-monito-gecko-sphaerodactylus,,No SSA report; need to get peer review documentation uploaded to docket,,,,,,,,,,,,,,,,,
Species Status Assessment,Dwarf-flowered heartleaf,,Incomplete,2018,,https://ecos.fws.gov/ServCat/Reference/Profile/103122,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Florida golden aster,,Incomplete,2018,,https://ecos.fws.gov/ServCat/Reference/Profile/103125,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Virgin Islands boa,FWS-R4-ES-2019-0069,Complete,2018,,https://ecos.fws.gov/ServCat/Reference/Profile/104785,,https://ecos.fws.gov/ServCat/DownloadFile/168984,,,,,,,,,,,,,,,,,,
Species Status Assessment,Key deer,,Incomplete,2018,,https://ecos.fws.gov/ServCat/Reference/Profile/111879,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Big Cypress epidendrum,FWS-R4-ES-2020-0044,Complete,2018,2020,big-cypress-epidendrum-2017.pdf,,https://ecos.fws.gov/ServCat/DownloadFile/178829,,,,,,,,,,,,,,,,,,
Species Status Assessment,Cape Sable orchid,FWS-R4-ES-2020-0044,Complete,2018,2020,cape-sable-orchid-2017.pdf,,https://ecos.fws.gov/ServCat/DownloadFile/178834,,,,,,,,,,,,,,,,,,
Species Status Assessment,Lepanthes eltoroensis,FWS-R4-ES-2019-0073,Complete,2018,,https://ecos.fws.gov/ServCat/Reference/Profile/104789,,https://ecos.fws.gov/ServCat/DownloadFile/168486,,,,,,,,,,,,,,,,,,
Species Status Assessment,Florida scrub-jay,,Planned,2018,,https://ecos.fws.gov/ServCat/Reference/Profile/111879,,https://ecos.fws.gov/ServCat/DownloadFile/170166,,,,,,,,,,,,,,,,,,
Species Status Assessment,Nashville crayfish,FWS-R4-ES-2018-0062,Complete,2018,,,,https://ecos.fws.gov/ServCat/DownloadFile/138744,,,,,,,,,,,,,,,,,,
Species Status Assessment,Arkansas mudalia,FWS-R4-ES-2019-0003,Complete,2018,,arkansas-mudalia-ssa-2018.pdf,,https://ecos.fws.gov/ServCat/DownloadFile/163741,,,,,,,,,,,,,,,,,,
Species Status Assessment,Ashy darter,FWS-R4-ES-2018-0059,Complete,2018,,https://ecos.fws.gov/ServCat/Reference/Profile/111884,,https://ecos.fws.gov/ServCat/DownloadFile/163697,,,,,,,,,,,,,,,,,,
Species Status Assessment,Barrens darter,FWS-R4-ES-2018-0060,Complete,2018,,https://ecos.fws.gov/ServCat/Reference/Profile/111883,,https://ecos.fws.gov/ServCat/DownloadFile/163708,,,,,,,,,,,,,,,,,,
Species Status Assessment,Eastern black rail,FWS-R4-ES-2018-0057,Complete,2018,,eastern-black-rail-2018.pdf,,https://ecos.fws.gov/ServCat/DownloadFile/154242,,,,,,,,,,,,,,,,,,
Species Status Assessment,Black-capped petrel,FWS-R4-ES-2018-0043,Complete,2018,,black-capped-petrel-2017.pdf,,https://ecos.fws.gov/ServCat/DownloadFile/156429,,,,,,,,,,,,,,,,,,
Species Status Assessment,Florida Clamshell orchid,FWS-R4-ES-2019-0075,Complete,2018,,clam-shell-orchid-2017.pdf,,https://ecos.fws.gov/ServCat/DownloadFile/168149,,,,,,,,,,,,,,,,,,
Species Status Assessment,Florida sandhill crane,FWS-R4-ES-2018-0099,Complete,2018,,florida-sandhill-crane-ssa-2018.pdf,,https://ecos.fws.gov/ServCat/DownloadFile/160085,,,,,,,,,,,,,,,,,,
Species Status Assessment,MacGillivray's seaside sparrow,FWS-R4-ES-2018-0067,Complete,2018,,macgillivrays-seaside-sparrow-2018.pdf,,https://ecos.fws.gov/ServCat/DownloadFile/160077,,,,,,,,,,,,,,,,,,
Species Status Assessment,Ozark pyrg,FWS-R4-ES-2018-0101,Complete,2018,,ozark-pyrg-ssa-2018.pdf,,https://ecos.fws.gov/ServCat/DownloadFile/165260,,,,,,,,,,,,,,,,,,
Species Status Assessment,Redlips darter,FWS-R4-ES-2019-0078,Complete,2018,,https://ecos.fws.gov/ServCat/Reference/Profile/111882,,https://ecos.fws.gov/ServCat/DownloadFile/168081,,,,,,,,,,,,,,,,,,
Species Status Assessment,Red wolf,,Complete,2018,,,,https://ecos.fws.gov/ServCat/DownloadFile/147196,,,,,,,,,,,,,,,,,,
Species Status Assessment,Slenderclaw crayfish,FWS-R4-ES-2018-0069,Complete,2018,,slenderclaw-crayfish-2018.pdf,,https://ecos.fws.gov/ServCat/DownloadFile/156286,,,,,,,,,,,,,,,,,,
Species Status Assessment,Striped newt,FWS-R4-ES-2018-0065,Complete,2018,,striped-newt-2018.pdf,,https://ecos.fws.gov/ServCat/DownloadFile/161097,,,,,,,,,,,,,,,,,,
Species Status Assessment,Short's bladderpod,,Complete,2018,,,,https://ecos.fws.gov/ServCat/DownloadFile/138745,,,,,,,,,,,,,,,,,,
Species Status Assessment,Neuse River waterdog,FWS-R4-ES-2018-0092,Complete,2017,,neuser-river-waterdog-2018.pdf,,https://ecos.fws.gov/ServCat/DownloadFile/161998,,,,,,,,,,,,,,,,,,
Species Status Assessment,Carolina madtom,FWS-R4-ES-2018-0092,Complete,2017,,carolina-madtom-2018.pdf,,https://ecos.fws.gov/ServCat/DownloadFile/161997,,,,,,,,,,,,,,,,,,
Species Status Assessment,Atlantic pigtoe,FWS–R4–ES–2018–0046,Complete,2017,,atlantic-pigtoe-2018.pdf,,https://ecos.fws.gov/ServCat/DownloadFile/156243,,,,,,,,,,,,,,,,,,
Species Status Assessment,Cedar Key mole skink,FWS-R4-ES-2015-0047,Complete,2017,,cedar-key-mole-skink-2017.pdf,,https://ecos.fws.gov/ServCat/DownloadFile/160080,,,,,,,,,,,,,,,,,,
Species Status Assessment,Beaverpond marstonia,FWS-R4-ES-2017-0090,Complete,2017,,,,https://ecos.fws.gov/ServCat/DownloadFile/143503,,,,,,,,,,,,,,,,,,
Species Status Assessment,Barrens topminnow,FWS-R4-ES-2017-0094,Complete,2017,,,,https://ecos.fws.gov/ServCat/DownloadFile/136354,,,,,,,,,,,,,,,,,,
Species Status Assessment,Panama City crayfish,FWS-R4-ES-2017-0061,Complete,2017,,,,https://ecos.fws.gov/ServCat/DownloadFile/136399,,,,,,,,,,,,,,,,,,
Species Status Assessment,Woodville Karst cave crayfish,FWS-R4-ES-2017-0085,Complete,2017,,,,http://ecos.fws.gov/ServCat/DownloadFile/151852,,,,,,,,,,,,,,,,,,
Species Status Assessment,Blackfin sucker,FWS-R4-ES-2017-0084,Complete,2017,,,,http://ecos.fws.gov/ServCat/DownloadFile/151850,,,,,,,,,,,,,,,,,,
Species Status Assessment,Bridled darter,FWS-R4-ES-2017-0063,Complete,2017,,,,http://ecos.fws.gov/ServCat/DownloadFile/151855,,,,,,,,,,,,,,,,,,
Species Status Assessment,Holiday darter,FWS-R4-ES-2017-0063,Complete,2017,,,,https://ecos.fws.gov/ServCat/DownloadFile/137233,,,,,,,,,,,,,,,,,,
Species Status Assessment,Trispot darter,FWS-R4-ES-2017-0063,Complete,2017,,,,http://ecos.fws.gov/ServCat/DownloadFile/151853,,,,,,,,,,,,,,,,,,
Species Status Assessment,Big Blue Springs cave crayfish,FWS-R4-ES-2017-0066,Complete,2017,,,,http://ecos.fws.gov/ServCat/DownloadFile/151851,,,,,,,,,,,,,,,,,,
Species Status Assessment,Barbour's map turtle,FWS-R4-ES-2017-0065,Complete,2017,,,,https://ecos.fws.gov/ServCat/DownloadFile/133019,,,,,,,,,,,,,,,,,,
Species Status Assessment,Florida Keys mole skink,FWS-R4-ES-2017-0067,Complete,2017,,,,https://ecos.fws.gov/ServCat/DownloadFile/130463,,,,,,,,,,,,,,,,,,
Species Status Assessment,Yellow lance,FWS-R4-ES-2017-0017,Complete,2017,,,,https://ecos.fws.gov/ServCat/DownloadFile/138974,,,,,,,,,,,,,,,,,,
Listing Rule,"Everglades bully, Florida pineland crabgrass, pineland sandmat, Florida prairie-clover",FWS-R4-ES-2016-0090,Complete,2016,,,,,,,,,,,,,,,,,,,,,,
Listing Rule,Louisiana pinesnake,FWS-R4-ES-2016-0121,Complete,2016,,,,,,,,,,,,,,,,,,,,,,
Listing Rule,Pearl darter,FWS-R4-ES-2016-0037,Complete,2016,,,,,,,,,,,,,,,,,,,,,,
Designation of Critical Habitat,Black Warrior waterdog,FWS-R4-ES-2016-0031,Complete,2016,,,,,,,,,,,,,,,,,,,,,,
Listing Rule,Black Warrior waterdog,FWS-R4-ES-2016-0029,Complete,2016,,,,,,,,,,,,,,,,,,,,,,
Designation of Critical Habitat,Elfin-woods warbler,FWS-R4-ES-2016-0002,Complete,2016,,,,,,,,,,,,,,,,,,,,,,
Listing Rule,Miami tiger beetle,FWS-R4-ES-2015-0164,Complete,2016,,,,,,,,,,,,,,,,,,,,,,
Listing Rule,Elfin-woods warbler,FWS-R4-ES-2015-0144,Complete,2016,,,,,,,,,,,,,,,,,,,,,,
Listing Rule,Suwannee moccasinshell,FWS-R4-ES-2015-0142,Complete,2016,,,,,,,,,,,,,,,,,,,,,,
